Rank,Title,Opening,Total Gross,Opening %,Theaters,Average,Release Date,Distributor
1,"Avengers: Endgame","$357,115,007","$858,373,000",41.6%,"4,662","$76,601","Apr 26, 2019","Walt Disney Studios Motion Pictures"
2,"Spider-Man: No Way Home","$260,138,569","$804,793,477",32.3%,"4,336","$59,995","Dec 17, 2021","Sony Pictures Releasing"
3,"Avengers: Infinity War","$257,698,183","$678,815,482",38%,"4,474","$57,599","Apr 27, 2018","Walt Disney Studios Motion Pictures"
4,"Star Wars: Episode VII - The Force Awakens","$247,966,675","$936,662,225",26.5%,"4,134","$59,982","Dec 18, 2015","Walt Disney Studios Motion Pictures"
5,"Star Wars: Episode VIII - The Last Jedi","$220,009,584","$620,181,382",35.5%,"4,232","$51,987","Dec 15, 2017","Walt Disney Studios Motion Pictures"
6,"Deadpool & Wolverine","$211,435,291","$636,745,858",33.2%,"4,210","$50,222","Jul 26, 2024","Walt Disney Studios Motion Pictures"
7,"Jurassic World","$208,806,270","$652,270,625",32%,"4,274","$48,855","Jun 12, 2015","Universal Pictures"
8,"The Avengers","$207,438,708","$623,357,910",33.3%,"4,349","$47,698","May 4, 2012","Walt Disney Studios Motion Pictures"
9,"Black Panther","$202,003,951","$700,059,566",28.9%,"4,020","$50,249","Feb 16, 2018","Walt Disney Studios Motion Pictures"
10,"The Lion King","$191,770,759","$543,638,043",35.3%,"4,725","$40,586","Jul 19, 2019","Walt Disney Studios Motion Pictures"
11,"Avengers: Age of Ultron","$191,271,109","$459,005,868",41.7%,"4,276","$44,731","May 1, 2015","Walt Disney Studios Motion Pictures"
12,"Doctor Strange in the Multiverse of Madness","$187,420,998","$411,331,607",45.6%,"4,534","$41,336","May 6, 2022","Walt Disney Studios Motion Pictures"
13,"Incredibles 2","$182,687,905","$608,581,744",30%,"4,410","$41,425","Jun 15, 2018","Walt Disney Studios Motion Pictures"
14,"Black Panther: Wakanda Forever","$181,339,761","$453,829,060",40%,"4,396","$41,251","Nov 11, 2022","Walt Disney Studios Motion Pictures"
15,"Captain America: Civil War","$179,139,142","$408,084,349",43.9%,"4,226","$42,389","May 6, 2016","Walt Disney Studios Motion Pictures"
16,"Star Wars: Episode IX - The Rise of Skywalker","$177,383,864","$515,202,542",34.4%,"4,406","$40,259","Dec 20, 2019","Walt Disney Studios Motion Pictures"
17,"Beauty and the Beast","$174,750,616","$504,014,165",34.7%,"4,210","$41,508","Mar 17, 2017","Walt Disney Studios Motion Pictures"
18,"Iron Man 3","$174,144,585","$409,013,994",42.6%,"4,253","$40,946","May 3, 2013","Walt Disney Studios Motion Pictures"
19,"Harry Potter and the Deathly Hallows: Part 2","$169,189,427","$381,011,219",44.4%,"4,375","$38,671","Jul 15, 2011","Warner Bros."
20,"Batman v Superman: Dawn of Justice","$166,007,347","$330,360,194",50.2%,"4,242","$39,134","Mar 25, 2016","Warner Bros."
21,"A Minecraft Movie","$162,753,003","$424,087,780",38.4%,"4,263","$38,178","Apr 4, 2025","Warner Bros."
22,"Barbie","$162,022,044","$636,238,421",25.5%,"4,243","$38,185","Jul 21, 2023","Warner Bros."
23,"The Dark Knight Rises","$160,887,295","$448,139,099",35.9%,"4,404","$36,532","Jul 20, 2012","Warner Bros."
24,"The Dark Knight","$158,411,483","$533,345,358",29.7%,"4,366","$36,282","Jul 18, 2008","Warner Bros."
25,"The Hunger Games: Catching Fire","$158,074,286","$424,668,047",37.2%,"4,163","$37,971","Nov 22, 2013","Lionsgate"
26,"Rogue One: A Star Wars Story","$155,081,681","$532,177,324",29.1%,"4,157","$37,306","Dec 16, 2016","Walt Disney Studios Motion Pictures"
27,"Inside Out 2","$154,201,673","$652,980,194",23.6%,"4,440","$34,730","Jun 14, 2024","Walt Disney Studios Motion Pictures"
28,"Captain Marvel","$153,433,423","$426,829,839",36%,"4,310","$35,599","Mar 8, 2019","Walt Disney Studios Motion Pictures"
29,"The Hunger Games","$152,535,747","$408,010,692",37.4%,"4,137","$36,871","Mar 23, 2012","Lionsgate"
30,"Spider-Man 3","$151,116,516","$336,530,303",44.9%,"4,252","$35,540","May 4, 2007","Sony Pictures Releasing"
